2024-03-19 13:29:57.607 +03:00 [INF] ad
2024-03-19 13:37:54.445 +03:00 [INF] ad
2024-03-19 13:37:54.463 +03:00 [ERR] Errororoor
2024-03-19 14:11:56.591 +03:00 [INF] 0 File sent.
2024-03-19 14:14:37.168 +03:00 [INF] Message chat id : 0 ; File name - Updated data.json : File sent by user.
2024-03-19 14:14:39.179 +03:00 [INF] Message chat id : 0 ; File name - Updated data.csv ; File sent by user.
2024-03-19 14:34:24.612 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Sorting
2024-03-19 14:34:29.156 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalSort
2024-03-19 14:34:33.147 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 14:34:39.639 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalSort
2024-03-19 14:34:43.743 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalSortField_Id
2024-03-19 14:34:49.306 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 14:34:51.150 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 14:34:52.259 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 14:34:58.213 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 14:34:59.670 +03:00 [INF] Bot id : 6429131594 ; The user clicked: FilterDistrict
2024-03-19 14:35:01.076 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 14:35:02.406 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 14:35:03.456 +03:00 [INF] Bot id : 6429131594 ; The user clicked: MoreDetailedFiltering
2024-03-19 14:35:04.283 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterField_Id
2024-03-19 14:35:05.231 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterSecondField_FullName
2024-03-19 14:55:26.294 +03:00 [INF] Bot id : 6429131594 ; User sent a message : фыв 
2024-03-19 14:56:55.636 +03:00 [INF] Bot id : 6429131594 ; User sent a message : asd 
2024-03-19 14:56:58.744 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /start 
2024-03-19 14:57:10.652 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Sorting
2024-03-19 14:57:13.785 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 14:57:14.818 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 14:57:15.970 +03:00 [INF] Bot id : 6429131594 ; The user clicked: FilterDistrict
2024-03-19 14:57:17.595 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 14:57:18.885 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 14:57:20.260 +03:00 [INF] Bot id : 6429131594 ; The user clicked: MoreDetailedFiltering
2024-03-19 14:57:21.110 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterField_Id
2024-03-19 14:57:23.417 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterTheSameField
2024-03-19 14:57:24.460 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : 1 
2024-03-19 15:30:46.846 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 15:30:53.435 +03:00 [INF] Bot id : 6429131594 ; The user clicked: MoreDetailedFiltering
2024-03-19 15:30:55.257 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterField_Id
2024-03-19 15:30:57.625 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterSecondField_GeodataCenter
2024-03-19 15:30:59.391 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : 12
12 
2024-03-19 15:31:08.880 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : 12
ыв 
2024-03-19 15:34:05.892 +03:00 [INF] Bot id : 6429131594 ; User sent a document : Telegram.Bot.Types.Document 
2024-03-19 15:34:19.498 +03:00 [INF] Bot id : 6429131594 ; User sent a document : gas-station.csv 
2024-03-19 15:40:13.756 +03:00 [INF] Bot id : 6429131594 ; User sent a message : as 
2024-03-19 15:40:17.112 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /start 
2024-03-19 15:40:19.123 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 15:40:25.060 +03:00 [INF] Bot id : 6429131594 ; User sent a document : gas-station.csv 
2024-03-19 15:40:27.733 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Sorting
2024-03-19 15:40:31.446 +03:00 [INF] Bot id : 6429131594 ; User sent a message : фыв 
2024-03-19 15:40:35.972 +03:00 [INF] Bot id : 6429131594 ; User sent a message : фыв 
2024-03-19 15:41:02.116 +03:00 [INF] Bot id : 6429131594 ; User sent a message : тьб 
2024-03-19 15:41:03.309 +03:00 [INF] Bot id : 6429131594 ; User sent a message : л 
